step,episode,avg_reward,max_reward,loss
20480,69,20.28986,200.0,32.80069
40960,145,29.0,300.0,59.72986
61440,219,31.0,300.0,64.36326
81920,291,53.0,400.0,109.86793
102400,353,86.0,500.0,169.89567
122880,415,133.0,600.0,272.90848
143360,476,145.0,600.0,253.45102
163840,533,153.0,700.0,301.79394
184320,592,201.0,1100.0,439.24598
204800,648,259.0,1100.0,456.91429
225280,703,255.0,1000.0,493.79554
245760,756,266.0,1000.0,588.03422
266240,811,343.0,2800.0,581.50684
286720,862,371.0,2800.0,649.04194
307200,915,388.0,1800.0,680.29988
327680,959,412.0,1800.0,681.63097
348160,1010,412.0,1900.0,654.12254
368640,1059,386.0,1900.0,540.69122
389120,1107,414.0,1400.0,719.80789
409600,1158,393.0,1200.0,634.92804
430080,1203,447.0,2100.0,744.9835
450560,1251,470.0,2100.0,653.74187
471040,1292,497.0,2100.0,800.40387
491520,1335,524.0,1700.0,764.47664
512000,1378,539.0,2000.0,778.58058
532480,1423,497.0,2000.0,782.14714
552960,1472,445.0,1500.0,718.71403
573440,1519,455.0,1800.0,692.40125
593920,1563,479.0,1800.0,745.8952
614400,1611,502.0,1500.0,760.57495
634880,1659,482.0,2000.0,686.00985
655360,1703,463.0,2100.0,775.30681
675840,1746,524.0,2100.0,806.78251
696320,1787,542.0,2000.0,822.67036
716800,1832,556.0,3700.0,773.87945
737280,1881,491.0,3700.0,635.54318
757760,1928,431.0,1500.0,642.34296
778240,1972,456.0,1700.0,822.34528
798720,2017,566.0,1700.0,881.42961
819200,2063,581.0,2400.0,844.94782
839680,2108,528.0,3500.0,897.20149
860160,2158,449.0,3500.0,570.19108
880640,2207,381.0,1600.0,605.84725
901120,2259,399.0,1800.0,759.38814
921600,2309,488.0,2900.0,857.64497
